date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:48	593/593	---M--	200	added ('OK')	text/plain	etag:%22251-5cc12325d3480%22	https://www.shi.co.jp/robots.txt		(from )
16:05:48	115483/115483	---M--	200	added ('OK')	text/html	etag:%221c31b-5ebe7314cf0dd%22	https://www.shi.co.jp/english/index.html	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/index.html	(from )
16:05:48	23155/23155	---M--	200	added ('OK')	image/png	etag:%225a73-5d7778ea516d7%22	https://www.shi.co.jp/english/app-files/img/symbol/ogp.png	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/app-files/img/symbol/ogp.png	(from https://www.shi.co.jp/english/index.html)
16:05:49	17542/17542	---M--	200	added ('OK')	image/x-icon	etag:%224486-5d7778e99cc36%22	https://www.shi.co.jp/english/app-files/img/symbol/favicon.ico	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/app-files/img/symbol/favicon.ico	(from https://www.shi.co.jp/english/index.html)
16:05:49	4579/4579	---M--	200	added ('OK')	image/png	etag:%2211e3-5d7778e94e64d%22	https://www.shi.co.jp/english/app-files/img/symbol/apple-touch-icon.png	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/app-files/img/symbol/apple-touch-icon.png	(from https://www.shi.co.jp/english/index.html)
16:05:50	6336/6336	---M--	200	added ('OK')	image/png	etag:%2218c0-5d7778e130054%22	https://www.shi.co.jp/english/app-files/img/cmn_main_logo01.png	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/app-files/img/cmn_main_logo01.png	(from https://www.shi.co.jp/english/index.html)
16:05:51	120303/120303	---M--	200	added ('OK')	text/html	etag:%221d5ef-5e02ff108f980%22	https://www.shi.co.jp/english/products/mechatronics/index.html	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/products/mechatronics/index.html	(from https://www.shi.co.jp/english/index.html)
16:05:51	143535/143535	---M--	200	added ('OK')	text/html	etag:%22230af-5ebe7314cc1fd%22	https://www.shi.co.jp/english/products/index.html	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/products/index.html	(from https://www.shi.co.jp/english/index.html)
16:05:51	120625/120625	---M--	200	added ('OK')	text/html	etag:%221d731-5e02ff08a015d%22	https://www.shi.co.jp/english/products/logistics/index.html	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/products/logistics/index.html	(from https://www.shi.co.jp/english/index.html)
16:05:52	996764/996764	---M--	200	added ('OK')	text/css	etag:%22f359c-5e02ff2b36a40%22	https://www.shi.co.jp/english/app-files/css/custom/home.css	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/app-files/css/custom/home.css	(from https://www.shi.co.jp/english/index.html)
16:05:52	126647/126647	---M--	200	added ('OK')	text/html	etag:%221eeb7-5e02ff0ae4a7e%22	https://www.shi.co.jp/english/products/machinery/index.html	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/products/machinery/index.html	(from https://www.shi.co.jp/english/index.html)
16:05:52	117239/117239	---M--	200	added ('OK')	text/html	etag:%221c9f7-5e02ff13a1bb8%22	https://www.shi.co.jp/english/products/other/index.html	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/products/other/index.html	(from https://www.shi.co.jp/english/index.html)
16:05:52	127781/127781	---M--	200	added ('OK')	text/html	etag:%221f325-5e02ff0230db5%22	https://www.shi.co.jp/english/products/energy/index.html	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/products/energy/index.html	(from https://www.shi.co.jp/english/index.html)
16:05:52	133499/133499	---M--	200	added ('OK')	text/html	etag:%222097b-5e02ff0862ce3%22	https://www.shi.co.jp/english/products/glossary/index.html	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/products/glossary/index.html	(from https://www.shi.co.jp/english/index.html)
16:05:52	120249/120249	---M--	200	added ('OK')	text/html	etag:%221d5b9-5e02fefac473d%22	https://www.shi.co.jp/english/tech/index.html	C:/My%20Web%20Sites/ten/www.shi.co.jp/english/tech/index.html	(from https://www.shi.co.jp/english/index.html)
